Order Qty (cases),List Type,SKU/MBLL Item Number,UPC/GTIN,Supplier,Brand,Type,Sub-Type,Description1,THC range,CBD range,Unit Vol/Size,Unit of Measure,Unit Price,Units Per Case,Case Price,Product Notifications
,CANNABIS CBD AVAILABLE,40036,629108211141,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,EXTRACTS INGESTED,INFUSED EDIBLE OILS,CBD HYBRID OIL,.001 - .001 mg/unit,900.6 - 900.6 mg/unit,30,ml,24.22,12,290.64, 
,CANNABIS AVAILABLE,40037,629108212148,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,EXTRACTS INGESTED,INFUSED EDIBLE OILS,THC INDICA OIL,598.5 - 598.5 mg/unit,.001 - .001 mg/unit,30,ml,29.11,12,349.32, 
,CANNABIS AVAILABLE,40038,629108213145,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,EXTRACTS INGESTED,INFUSED EDIBLE OILS,THC SATIVA OIL,598.5 - 598.5 mg/unit,.001 - .001 mg/unit,30,ml,29.11,12,349.32, 
,CANNABIS AVAILABLE,40044,842650000500,BZAM MANAGEMENT INC,TABLE TOP,DRIED FLOWER,WHOLE BUD/FLOWER,GREASE MONKEY,180 - 240 mg/g,0 - 10 mg/g,28,g,72.68,6,436.08, 
,CANNABIS AVAILABLE,40045,688083004551,CANOPY GROWTH CORPORATION,DOJA,DRIED FLOWER,WHOLE BUD/FLOWER,SOUR KUSH,220 - 280 mg/g,.0003 - 10 mg/g,3.5,g,17.47,12,209.64, 
,CANNABIS AVAILABLE,40051,628582001583,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,VAPE,CARTRIDGE 510,PINK KUSH LIVE RESIN VAPE,297.5 - 402.5 mg/unit,.001 - 25 mg/unit,0.5,g,38.41,12,460.92, 
,CANNABIS AVAILABLE,40052,628582001576,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,VAPE,CARTRIDGE 510,OG CHEMDAWG LIVE RESIN VAPE,297.5 - 402.5 mg/unit,.001 - 25 mg/unit,0.5,g,38.41,12,460.92, 
,CANNABIS AVAILABLE,40058,688083004544,CANOPY GROWTH CORPORATION,DOJA,DRIED FLOWER,PRE-ROLLED,SOUR KUSH PR3X05G,220 - 280 mg/g,.0007 - 10 mg/g,1.5,g,13.97,48,670.56, 
,CANNABIS CBD AVAILABLE,40140,827885009412,SUNDIAL GROWERS,SUNDIAL,EXTRACTS INGESTED,CBD ISOLATE,CBD ISOLATE,.1 - 1 mg/unit,975 - 990 mg/unit,1,g,24.01,12,288.12, 
,CANNABIS AVAILABLE,40145,827885009504,SUNDIAL GROWERS,TOP LEAF,DRIED FLOWER,WHOLE BUD/FLOWER,LA KUSH CAKE,230 - 290 mg/g,10 - 10 mg/g,28,g,164.21,4,656.84, 
,CANNABIS AVAILABLE,40207,628176810355,ONELEAF CANNABIS CORP,ONE LEAF,DRIED FLOWER,WHOLE BUD/FLOWER,CHERRY COBBLER,200 - 270 mg/g,.0001 - 10 mg/g,7,g,43.87,24,1052.88, 
,CANNABIS AVAILABLE,40209,627560010036,ZENABIS LTD,NAMASTE,DRIED FLOWER,WHOLE BUD/FLOWER,INDICA,21.4286 - 25.7143 mg/g,.0001 - 1.4286 mg/g,7,g,36.13,12,433.56, 
,CANNABIS AVAILABLE,40210,628176810300,ONELEAF CANNABIS CORP,ENDLESS SUMMER,DRIED FLOWER,WHOLE BUD/FLOWER,ORANGE COOKIES,150 - 250 mg/g,.0001 - 10 mg/g,7,g,26.71,24,641.04, 
,CANNABIS AVAILABLE,40211,628176810270,ONELEAF CANNABIS CORP,ENDLESS SUMMER,DRIED FLOWER,WHOLE BUD/FLOWER,PUNCH,150 - 250 mg/g,.0001 - 10 mg/g,7,g,26.71,24,641.04, 
,CANNABIS AVAILABLE,40263,842360007226,VOYAGE CANNABIS CORP,RAD,EXTRACTS INHALED,LIVE RESIN,LIVE RESIN OVERSUPPLY,650 - 800 mg/unit,.001 - 10 mg/unit,1,g,28.56,12,342.72, 
,CANNABIS AVAILABLE,40264,842360006311,VOYAGE CANNABIS CORP,RAD,EXTRACTS INHALED,LIVE RESIN,LIVE AMNESIA HAZE,650 - 800 mg/unit,.001 - 10 mg/unit,1,g,32.13,12,385.56, 
,CANNABIS AVAILABLE,40302,841464002212,PHOENA INC,LIIV,DRIED FLOWER,WHOLE BUD/FLOWER,ORANGE MONKEY,190 - 250 mg/g,.0003 - 10 mg/g,3.5,g,19.45,18,350.1, 
,CANNABIS AVAILABLE,40304,841464002205,PHOENA INC,LIIV,DRIED FLOWER,PRE-ROLLED,ORANGE MONKEY PR1X1G,200 - 260 mg/g,.001 - 10 mg/g,1,g,6.35,24,152.4, 
,CANNABIS AVAILABLE,40341,688318001034,RUBICON HOLDINGS CORP,1964,EXTRACTS INHALED,HASH,ORGANIC HASH,840 - 980 mg/unit,.001 - 35 mg/unit,3.5,g,36.65,12,439.8, 
,CANNABIS AVAILABLE,40346,688318001003,RUBICON HOLDINGS CORP,1964,DRIED FLOWER,WHOLE BUD/FLOWER,1964 ORGANIC SOUR COOKIES,200 - 240 mg/g,.0003 - 10 mg/g,3.5,g,23.99,12,287.88, 
,CANNABIS AVAILABLE,40369,827885009351,SUNDIAL GROWERS,GRASSLANDS,EXTRACTS INHALED,HASH,GRASSLANDS SATIVA HASH,510 - 660 mg/unit,1.5 - 15 mg/unit,1.5,g,26.82,12,321.84, 
,CANNABIS AVAILABLE,40371,671148303010,ORGANIGRAM INC,SHRED'EMS,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-OTHER,MEGAMELON 2X4.5G,10 - 10 mg/unit,.001 - .001 mg/unit,9,g,2.92,12,35.04, 
,CANNABIS AVAILABLE,40390,689285001652,DELTA 9 BIO-TECH,DELTA 9,EXTRACTS INHALED,KIEF,SAPPHIRE,500 - 700 mg/unit,2 - 4 mg/unit,2,g,13.35,12,160.2, 
,CANNABIS AVAILABLE,40392,689285001904,DELTA 9 BIO-TECH,DELTA 9,DRIED FLOWER,WHOLE BUD/FLOWER,GROWER'S PRIVATE STASH,220 - 280 mg/g,0 - .7 mg/g,28,g,84.20,6,505.2, 
,CANNABIS AVAILABLE,40405,843686036273,STIGMA GROW,WHITE NGL,VAPE,CARTRIDGE 510,BLUEBERRY MTN RUSH 510 VAPE,340 - 460 mg/unit,.05 - 1.87 mg/unit,0.5,g,27.74,12,332.88, 
,CANNABIS AVAILABLE,40409,843686037270,STIGMA GROW,WHITE NGL,VAPE,CARTRIDGE 510,ORANGE ICICLE 510 VAPE,340 - 460 mg/unit,.05 - 1.87 mg/unit,0.5,g,27.74,12,332.88, 
,CANNABIS AVAILABLE,40413,843686042274,STIGMA GROW,DAB BODS,VAPE,CARTRIDGE 510,DAB BODS PINEAPPLE PUNCH VAPE,340 - 460 mg/unit,.05 - 1.87 mg/unit,0.5,g,25.56,12,306.72, 
,CANNABIS AVAILABLE,40415,843686043271,STIGMA GROW,DAB BODS,VAPE,CARTRIDGE 510,DAB BODS WATERMELON SUGAR VAPE,340 - 460 mg/unit,.05 - 1.87 mg/unit,0.5,g,25.56,12,306.72, 
,CANNABIS AVAILABLE,40417,842572003900,CANNMART INC,ROILTY,VAPE,CARTRIDGE 510,HENRY THE GRAPE APE 510 VAPE,800 - 900 mg/unit,.001 - .5 mg/unit,1,g,23.98,12,287.76, 
,CANNABIS AVAILABLE,40419,842572003917,CANNMART INC,ROILTY,VAPE,CARTRIDGE 510,HAWAIIAN THUNDER QUEEN 510VAPE,800 - 900 mg/unit,.001 - .5 mg/unit,1,g,23.98,12,287.76, 
,CANNABIS AVAILABLE,40430,848876000782,MOTIF LABS,FEATHER,VAPE,CARTRIDGE 510,MELON BUBBLE HAZE 510 VAPE,800 - 860 mg/unit,.001 - 5 mg/unit,1,g,30.40,12,364.8, 
,CANNABIS AVAILABLE,40431,628242950510,EXPERION BIOTECHNOLOGIES,CITIZEN STASH,DRIED FLOWER,WHOLE BUD/FLOWER,FPOG,200 - 260 mg/g,.0003 - .0514 mg/g,3.5,g,25.01,12,300.12, 
,CANNABIS AVAILABLE,40433,628242950527,EXPERION BIOTECHNOLOGIES,CITIZEN STASH,DRIED FLOWER,PRE-ROLLED,FPOG PR2X0.5G,200 - 260 mg/g,.001 - .05 mg/g,1,g,8.56,24,205.44, 
,CANNABIS AVAILABLE,40461,628242801669,ENTOURAGE,COLOR CANNABIS,DRIED FLOWER,PRE-ROLLED,GHOST TRAIN HAZE PR10X0.35G,180 - 230 mg/g,.0003 - 20 mg/g,3.5,g,16.76,18,301.68, 
,CANNABIS AVAILABLE,40464,628242801454,ENTOURAGE,SATURDAY,DRIED FLOWER,WHOLE BUD/FLOWER,ULTRA SOUR,200 - 260 mg/g,0 - 20 mg/g,28,g,121.54,4,486.16, 
,CANNABIS AVAILABLE,40465,628242801447,ENTOURAGE,SATURDAY,DRIED FLOWER,WHOLE BUD/FLOWER,LEMON Z,200 - 260 mg/g,0 - 20 mg/g,28,g,121.54,4,486.16, 
,CANNABIS AVAILABLE,40466,628242801133,ENTOURAGE,COLOR CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,BLACK SUGAR ROSE,180 - 240 mg/g,.0003 - 20 mg/g,3.5,g,19.42,18,349.56, 
,CANNABIS CBD AVAILABLE,40487,697238112164,HEXO OPERATIONS INC,HEXO,EXTRACTS INGESTED,GEL CAPS,HEXO CBD SOFTGELS 25MGX30,.001 - 8.3 mg/unit,16.6 - 207.5 mg/unit,8.3,g,20.42,12,245.04, 
,CANNABIS AVAILABLE,40711,628242260329,NOYA CANNABIS INC,GAGE CANNABIS CO.,EXTRACTS INGESTED,INFUSED EDIBLE OILS,FIRE OG OIL,676.8 - 846 mg/unit,.001 - 282 mg/unit,30,ml,34.22,12,410.64, 
,CANNABIS AVAILABLE,40714,628242260428,NOYA CANNABIS INC,GAGE CANNABIS CO.,DRIED FLOWER,WHOLE BUD/FLOWER,SWEET TARTZ,200 - 270 mg/g,.0003 - 50 mg/g,3.5,g,31.47,12,377.64, 
,CANNABIS AVAILABLE,40716,628242260459,NOYA CANNABIS INC,GAGE CANNABIS CO.,DRIED FLOWER,PRE-ROLLED,SWEET TARTZ PR1X1.0G,200 - 270 mg/g,.001 - 50 mg/g,1,g,9.54,12,114.48, 
,CANNABIS AVAILABLE,40719,628242260831,NOYA CANNABIS INC,GAGE CANNABIS CO.,DRIED FLOWER,PRE-ROLLED,MICRO BATCH PR3X0.5G,180 - 250 mg/g,.0007 - 50 mg/g,1.5,g,15.45,12,185.4, 
,CANNABIS AVAILABLE,40731,628242260510,NOYA CANNABIS INC,GAGE CANNABIS CO.,DRIED FLOWER,PRE-ROLLED,SWEET TARTZ PR3X0.5G,200 - 270 mg/g,.0007 - 50 mg/g,1.5,g,15.45,12,185.4, 
,CANNABIS AVAILABLE,40749,685690900092,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,PRAIRIE TRICHOMES PR3X0.5G,210 - 240 mg/g,.0007 - 1 mg/g,1.5,g,8.47,24,203.28, 
,CANNABIS AVAILABLE,40750,685690900108,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,PRAIRIE TRICHOMES PR5X0.5G,210 - 240 mg/g,.0004 - 1 mg/g,2.5,g,14.02,24,336.48, 
,CANNABIS AVAILABLE,40752,685690210061,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,FREEDOM CANNABIS INDICA,200 - 260 mg/g,0 - 1 mg/g,28,g,101.37,6,608.22, 
,CANNABIS AVAILABLE,40753,685690140016,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,FREEDOM SATIVA PR30X0.5G,200 - 260 mg/g,.0001 - 1 mg/g,15,g,75.48,6,452.88, 
,CANNABIS AVAILABLE,40754,685690140023,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,FREEDOM INDICA PR30X0.5G,200 - 260 mg/g,.0001 - 1 mg/g,15,g,75.48,6,452.88, 
,CANNABIS AVAILABLE,40755,685690200048,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,SLURRICANE,220 - 280 mg/g,.0003 - 1 mg/g,3.5,g,27.93,24,670.32, 
,CANNABIS AVAILABLE,40756,685690110040,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,SLURRICANE PR2X0.5G,220 - 280 mg/g,.001 - 1 mg/g,1,g,10.08,24,241.92, 
,CANNABIS AVAILABLE,40757,685690120049,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,SLURRICANE PR5X0.5G,220 - 280 mg/g,.0004 - 1 mg/g,2.5,g,22.75,24,546, 
,CANNABIS AVAILABLE,40762,685690200062,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,BIRTHDAY CAKE,200 - 260 mg/g,.0003 - 1 mg/g,3.5,g,25.75,24,618, 
,CANNABIS AVAILABLE,40764,685690110064,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,BIRTHDAY CAKE PR2X0.5G,200 - 250 mg/g,.001 - 1 mg/g,1,g,8.99,24,215.76, 
,CANNABIS AVAILABLE,40765,685690120063,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,BIRTHDAY CAKE PR5X0.5G,200 - 260 mg/g,.0004 - 1 mg/g,2.5,g,21.12,24,506.88, 
,CANNABIS AVAILABLE,40766,685690200017,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,SATIVA,200 - 260 mg/g,.0003 - 1 mg/g,3.5,g,25.75,24,618, 
,CANNABIS AVAILABLE,40767,685690110019,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,SATIVA PR2X0.5G,200 - 260 mg/g,.001 - 1 mg/g,1,g,8.99,24,215.76, 
,CANNABIS AVAILABLE,40768,685690120018,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,SATIVA PR5X0.5G,200 - 260 mg/g,.0004 - .4 mg/g,2.5,g,21.12,24,506.88, 
,CANNABIS AVAILABLE,40772,685690110057,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,SKYWALKER PR2X0.5G,210 - 240 mg/g,.001 - 1 mg/g,1,g,5.72,24,137.28, 
,CANNABIS AVAILABLE,40773,685690120056,FREEDOM CANNABIS INC,FREEDOM CANNABIS,DRIED FLOWER,PRE-ROLLED,SKYWALKER PR5X0.5G,210 - 240 mg/g,.0004 - .4 mg/g,2.5,g,12.94,24,310.56, 
,CANNABIS AVAILABLE,40778,628582001743,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,DRIED FLOWER,WHOLE BUD/FLOWER,LEMON ROCKET,200 - 260 mg/g,.0003 - 100 mg/g,3.5,g,20.94,12,251.28, 
,CANNABIS AVAILABLE,40779,628582001750,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,DRIED FLOWER,WHOLE BUD/FLOWER,STONEFRUIT SUNSET,190 - 250 mg/g,.0003 - 100 mg/g,3.5,g,20.94,12,251.28, 
,CANNABIS AVAILABLE,40782,851653000172,OLLI BRANDS INC.,OLLI,EDIBLES-BAKED GOODS,BROWNIES,CHOCOLATE BROWNIE,10 - 10 mg/unit,5 - 5 mg/unit,40,g,6.08,12,72.96, 
,CANNABIS AVAILABLE,40785,851653000257,OLLI BRANDS INC.,OLLI,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-OTHER,BUTTER CARAMELTS,10 - 10 mg/unit,.001 - .001 mg/unit,24,g,6.35,12,76.2, 
,CANNABIS AVAILABLE,40790,628176417035,BOLD GROWTH INC,BOLD,DRIED FLOWER,WHOLE BUD/FLOWER,ROOT BEER FLOAT FLOWER 3.5G,300 - 360 mg/g,.0003 - 10 mg/g,3.5,g,27.88,12,334.56, 
,CANNABIS AVAILABLE,40932,671148301092,ORGANIGRAM INC,SHRED,DRIED FLOWER,MILLED/BLENDED,SHRED FUNKMASTER 7G,180 - 240 mg/g,.0001 - 1.5 mg/g,7,g,25.78,12,309.36, 
,CANNABIS AVAILABLE,40943,827763000203,THE GREEN ORGANIC DUTCHMAN,HIGHLY DUTCH ORGANIC,EXTRACTS INHALED,HASH,ORGANIC MARRAKECH GOLD HASH,400 - 460 mg/unit,.001 - 10 mg/unit,1,g,14.78,12,177.36, 
,CANNABIS AVAILABLE,40945,827763002474,THE GREEN ORGANIC DUTCHMAN,TGOD,EDIBLES-BEVERAGES DRIED,MIXES (DRY),CLASSIC LEMONADE QUICKSTICKS,10 - 10 mg/unit,.001 - 1 mg/unit,1.3,g,3.99,24,95.76, 
,CANNABIS AVAILABLE,40946,827763002443,THE GREEN ORGANIC DUTCHMAN,TGOD,EDIBLES-BEVERAGES DRIED,MIXES (DRY),BLUEBERRY POM QUICKSTICKS,10 - 10 mg/unit,.001 - 1 mg/unit,1.3,g,3.99,24,95.76, 
,CANNABIS AVAILABLE,40958,628504385197,BREATHING GREEN SOLUTIONS INC,SKOSHA,DRIED FLOWER,PRE-ROLLED,MIRAGE PLUS PR3X0.5G,230 - 260 mg/g,.0007 - 1 mg/g,1.5,g,16.27,12,195.24, 
,CANNABIS AVAILABLE,40959,628504385180,BREATHING GREEN SOLUTIONS INC,SKOSHA,DRIED FLOWER,WHOLE BUD/FLOWER,MIRAGE PLUS,230 - 260 mg/g,.0003 - 1 mg/g,3.5,g,30.66,12,367.92, 
,CANNABIS AVAILABLE,41025,694144012274,APHRIA INC,SOLEI,DRIED FLOWER,WHOLE BUD/FLOWER,CHOCOLATE CHEESECAKE,190 - 250 mg/g,.0003 - 20 mg/g,3.5,g,15.59,12,187.08, 
,CANNABIS AVAILABLE,41038,842833040101,JC GREEN CANNABIS INC,JONNY ECONOMY,VAPE,CARTRIDGE 510,ACAPULCO GOLD 510 VAPE CART,850 - 900 mg/unit,1 - 50 mg/unit,1,g,34.06,12,408.72, 
,CANNABIS AVAILABLE,41040,842833040118,JC GREEN CANNABIS INC,JONNY ECONOMY,VAPE,CARTRIDGE 510,PINEAPPLE EXPRES 510 VAPE CART,850 - 900 mg/unit,1 - 50 mg/unit,1,g,34.06,12,408.72, 
,CANNABIS AVAILABLE,41041,842833040125,JC GREEN CANNABIS INC,JONNY ECONOMY,VAPE,CARTRIDGE 510,SUNDAY DRIVER 510 VAPE CART,850 - 900 mg/unit,1 - 50 mg/unit,1,g,34.06,12,408.72, 
,CANNABIS CBD AVAILABLE,41042,842833010050,JC GREEN CANNABIS INC,JONNY CHRONIC,EXTRACTS INHALED,WAX,AC/DC CBD SUGARWAX,.001 - 50 mg/unit,700 - 800 mg/unit,1,g,22.21,12,266.52, 
,CANNABIS AVAILABLE,41048,827885009320,SUNDIAL GROWERS,TOP LEAF,VAPE,CARTRIDGE 510,OGG LIVE RESIN CART,350 - 400 mg/unit,.5 - 5 mg/unit,0.5,g,23.59,12,283.08, 
,CANNABIS AVAILABLE,41051,695275000963,TANTALUS LABS,TANTALUS LABS,DRIED FLOWER,WHOLE BUD/FLOWER,SUNSET SHERBERT,200 - 240 mg/g,.0001 - 10 mg/g,15,g,61.31,6,367.86, 
,CANNABIS AVAILABLE,41054,695275000987,TANTALUS LABS,TANTALUS LABS,VAPE,CARTRIDGE 510,SKY PILOT 510 VAPE CART,400 - 440 mg/unit,.001 - 5 mg/unit,0.5,g,17.91,12,214.92, 
,CANNABIS AVAILABLE,41064,697238119033,HEXO OPERATIONS INC,HEXO,VAPE,CARTRIDGE 510,TRAINWRECK VAPE CART,700 - 800 mg/unit,.001 - 1 mg/unit,1,g,27.51,12,330.12, 
,CANNABIS AVAILABLE,41072,697238119255,HEXO OPERATIONS INC,UP,DRIED FLOWER,PRE-ROLLED,GHOST TRAIN HAZE UP PR3X0.5G,200 - 250 mg/g,.0007 - 10 mg/g,1.5,g,9.99,12,119.88, 
,CANNABIS AVAILABLE,41074,842650000388,BZAM MANAGEMENT INC,BZAM,VAPE,CARTRIDGE 510,BANANA DAZE 510 VAPE CART,820 - 860 mg/unit,.001 - 10 mg/unit,1,g,25.55,12,306.6, 
,CANNABIS AVAILABLE,41075,842650000395,BZAM MANAGEMENT INC,BZAM,VAPE,CARTRIDGE 510,MAGIC MELON 510 VAPE CART,820 - 860 mg/unit,.001 - 10 mg/unit,1,g,25.55,12,306.6, 
,CANNABIS AVAILABLE,41081,688083006586,CANOPY GROWTH CORPORATION,TWEED,EDIBLES-BEVERAGES LIQUID,SPARKLING TONIC/WATER (LIQ),FIZZ WATERMELON,5 - 5 mg/unit,.001 - 1 mg/unit,355,ml,3.73,12,44.76, 
,CANNABIS AVAILABLE,41082,688083006579,CANOPY GROWTH CORPORATION,TWEED,EDIBLES-BEVERAGES LIQUID,SPARKLING TONIC/WATER (LIQ),FIZZ MANGO,5 - 5 mg/unit,.001 - 1 mg/unit,355,ml,3.73,12,44.76, 
,CANNABIS AVAILABLE,41207,827912001044,7ACRES,HIWAY,EXTRACTS INHALED,HASH,HASH,600 - 800 mg/unit,.001 - 20 mg/unit,2,g,32.70,12,392.4, 
,CANNABIS AVAILABLE,41209,827912001235,7ACRES,7ACRES,DRIED FLOWER,PRE-ROLLED,PAPAYA PR2X0.5G,180 - 240 mg/g,.001 - 10 mg/g,1,g,8.72,24,209.28, 
,CANNABIS AVAILABLE,41210,827912001259,7ACRES,7ACRES,DRIED FLOWER,PRE-ROLLED,WAPPA 49 PR2X0.5G,170 - 230 mg/g,.001 - 10 mg/g,1,g,8.72,24,209.28, 
,CANNABIS AVAILABLE,41212,827912001266,7ACRES,7ACRES,DRIED FLOWER,WHOLE BUD/FLOWER,WAPPA 49,180 - 240 mg/g,.0001 - 10 mg/g,7,g,41.69,12,500.28, 
,CANNABIS AVAILABLE,41213,827912001228,7ACRES,7ACRES,DRIED FLOWER,WHOLE BUD/FLOWER,PAPAYA,190 - 250 mg/g,.0001 - 10 mg/g,7,g,41.69,12,500.28, 
,CANNABIS AVAILABLE,41235,848876000898,MOTIF LABS,STICKY GREENS,VAPE,CARTRIDGE 510,MANGO TANGO 510 VAPE,800 - 860 mg/unit,.001 - 20 mg/unit,1,g,26.16,12,313.92, 
,CANNABIS AVAILABLE,41238,848876001093,MOTIF LABS,STICKY GREENS,VAPE,CARTRIDGE 510,LYCHEE ICE 510 VAPE,800 - 860 mg/unit,.001 - 20 mg/unit,1,g,26.16,12,313.92, 
,CANNABIS AVAILABLE,41239,848876000904,MOTIF LABS,STICKY GREENS,VAPE,CARTRIDGE 510,ROOTY B 510 VAPE,800 - 860 mg/unit,.001 - 20 mg/unit,1,g,26.16,12,313.92, 
,CANNABIS AVAILABLE,41260,846067000702,TRICHOME JWC ACQUISITION CORP,WAGNERS,EXTRACTS INHALED,HASH,OLD SCHOOL PRESSED,600 - 800 mg/unit,.001 - 20 mg/unit,2,g,22.21,24,533.04, 
,CANNABIS AVAILABLE,41262,846067000665,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,PRE-ROLLED,CHERRY JAM PR3X0.5G,200 - 250 mg/g,.0007 - 10 mg/g,1.5,g,11.10,24,266.4, 
,CANNABIS AVAILABLE,41263,846067000658,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,PRE-ROLLED,THE SILVERBACK #4 PR3X0.5G,200 - 250 mg/g,.0007 - 10 mg/g,1.5,g,11.10,24,266.4, 
,CANNABIS AVAILABLE,41264,846067000689,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,PRE-ROLLED,PINK BUBBA PR3X0.5G,200 - 250 mg/g,.0007 - 10 mg/g,1.5,g,11.10,24,266.4, 
,CANNABIS AVAILABLE,41266,846067000092,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,WHOLE BUD/FLOWER,DARK HELMET,210 - 250 mg/g,.0003 - 10 mg/g,3.5,g,24.43,24,586.32, 
,CANNABIS AVAILABLE,41267,846067000610,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,WHOLE BUD/FLOWER,CHERRY JAM,210 - 250 mg/g,.0003 - 10 mg/g,3.5,g,24.43,24,586.32, 
,CANNABIS AVAILABLE,41268,846067000603,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,WHOLE BUD/FLOWER,THE SILVERBACK #4,210 - 250 mg/g,.0003 - 10 mg/g,3.5,g,24.43,24,586.32, 
,CANNABIS AVAILABLE,41271,672632001016,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,GAELIC FIRE,200 - 260 mg/g,.0001 - 10 mg/g,14,g,88.88,6,533.28, 
,CANNABIS AVAILABLE,41273,672632001054,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,CHERRY BURST,200 - 260 mg/g,.0001 - 10 mg/g,14,g,88.88,6,533.28, 
,CANNABIS AVAILABLE,41314,628242320993,APHRIA INC,BROKEN COAST,DRIED FLOWER,WHOLE BUD/FLOWER,SUNSET SHERBET,200 - 260 mg/g,.0003 - 20 mg/g,3.5,g,27.29,12,327.48, 
,CANNABIS AVAILABLE,41315,628242321013,APHRIA INC,BROKEN COAST,DRIED FLOWER,WHOLE BUD/FLOWER,AMNESIA HAZE,200 - 260 mg/g,.0003 - 20 mg/g,3.5,g,27.29,12,327.48, 
,CANNABIS AVAILABLE,41316,628242321006,APHRIA INC,BROKEN COAST,DRIED FLOWER,WHOLE BUD/FLOWER,KUSH MINTS,200 - 260 mg/g,.0003 - 20 mg/g,3.5,g,27.29,12,327.48, 
,CANNABIS AVAILABLE,41335,848876000072,MOTIF LABS,SPHEREX,VAPE,CARTRIDGE PROPRIETARY,LEMON HAZE PAX POD,400 - 450 mg/unit,.001 - 10 mg/unit,0.5,g,23.05,12,276.6, 
,CANNABIS AVAILABLE,41337,848876000034,MOTIF LABS,SPHEREX,VAPE,CARTRIDGE PROPRIETARY,MANGO KUSH PAX POD,400 - 450 mg/unit,.001 - 10 mg/unit,0.5,g,23.05,12,276.6, 
,CANNABIS AVAILABLE,41342,848876000232,MOTIF LABS,SPHEREX,VAPE,CARTRIDGE PROPRIETARY,RELIEF 1:1 PAX POD,200 - 250 mg/unit,200 - 250 mg/unit,0.5,g,21.41,12,256.92, 
,CANNABIS AVAILABLE,41344,837575000353,GALAXIE BRANDS CORP,CRUUZY,VAPE,CARTRIDGE 510,SUGAR SPICE INDICA 510 VAPE,770 - 830 mg/unit,.001 - 20 mg/unit,1,g,32.37,12,388.44, 
,CANNABIS AVAILABLE,41345,837575000360,GALAXIE BRANDS CORP,CRUUZY,VAPE,CARTRIDGE 510,CITRUS ICE SATIVA 510 VAPE,770 - 830 mg/unit,.001 - 20 mg/unit,1,g,32.37,12,388.44, 
,CANNABIS CBD AVAILABLE,41351,628250744958,AGMEDICA BIOSCIENCE INC,FIVE FOUNDERS,EXTRACTS INGESTED,INFUSED EDIBLE OILS,CBD OIL,55 - 55 mg/unit,523.8 - 640.2 mg/unit,30,ml,11.33,12,135.96, 
,CANNABIS AVAILABLE,41352,837575000377,GALAXIE BRANDS CORP,CRUUZY,VAPE,CARTRIDGE 510,MANGO TWIST HYBRID 510 VAPE,770 - 830 mg/unit,.001 - 20 mg/unit,1,g,32.37,12,388.44, 
